# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 209:         4.518       52.465       0.00  IJMOND
# 210:         4.430       52.171      -0.20  VALKENBURG
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 235:         4.781       52.928       1.20  DE KOOY
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 242:         4.921       53.241      10.80  VLIELAND
# 248:         5.174       52.634       0.80  WIJDENES
# 249:         4.979       52.644      -2.40  BERKHOUT
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 260:         5.180       52.100       1.90  DE BILT
# 265:         5.274       52.130      13.90  SOESTERBERG
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 273:         5.888       52.703      -3.30  MARKNESSE
# 275:         5.873       52.056      48.20  DEELEN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 278:         6.259       52.435       3.60  HEINO
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 290:         6.891       52.274      34.80  TWENTHE
# 308:         3.379       51.381       0.00  CADZAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 315:         3.998       51.447       0.00  HANSWEERT
# 316:         3.694       51.657       0.00  SCHAAR
# 319:         3.861       51.226       1.70  WESTDORPE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 324:         4.006       51.596       0.00  STAVENISSE
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 331:         4.193       51.480       0.00  THOLEN
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 348:         4.926       51.970      -0.70  CABAUW
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 356:         5.146       51.859       0.70  HERWIJNEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 375:         5.707       51.659      22.00  VOLKEL
# 377:         5.763       51.198      30.00  ELL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 391:         6.197       51.498      19.50  ARCEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# UG       = Etmaalgemiddelde relatieve vochtigheid (in procenten); 
# EV24     = Referentiegewasverdamping (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   TG,   RH,   UG, EV24
# 
  209,20170315,     ,     ,     ,     
  209,20170316,     ,     ,     ,     
  209,20170317,     ,     ,     ,     
  209,20170318,     ,     ,     ,     
  209,20170319,     ,     ,     ,     
  209,20170320,     ,     ,     ,     
  209,20170321,     ,     ,     ,     
  209,20170322,     ,     ,     ,     
  209,20170323,     ,     ,     ,     
  209,20170324,     ,     ,     ,     
  209,20170325,     ,     ,     ,     
  209,20170326,     ,     ,     ,     
  209,20170327,     ,     ,     ,     
  209,20170328,     ,     ,     ,     
  209,20170329,     ,     ,     ,     
  209,20170330,     ,     ,     ,     
  209,20170331,     ,     ,     ,     
  209,20170401,     ,     ,     ,     
  209,20170402,     ,     ,     ,     
  209,20170403,     ,     ,     ,     
  209,20170404,     ,     ,     ,     
  209,20170405,     ,     ,     ,     
  209,20170406,     ,     ,     ,     
  209,20170407,     ,     ,     ,     
  209,20170408,     ,     ,     ,     
  209,20170409,     ,     ,     ,     
  209,20170410,     ,     ,     ,     
  209,20170411,     ,     ,     ,     
  209,20170412,     ,     ,     ,     
  209,20170413,     ,     ,     ,     
  209,20170414,     ,     ,     ,     
  209,20170415,     ,     ,     ,     
  209,20170416,     ,     ,     ,     
  209,20170417,     ,     ,     ,     
  209,20170418,     ,     ,     ,     
  209,20170419,     ,     ,     ,     
  209,20170420,     ,     ,     ,     
  209,20170421,     ,     ,     ,     
  209,20170422,     ,     ,     ,     
  209,20170423,     ,     ,     ,     
  209,20170424,     ,     ,     ,     
  209,20170425,     ,     ,     ,     
  209,20170426,     ,     ,     ,     
  209,20170427,     ,     ,     ,     
  209,20170428,     ,     ,     ,     
  209,20170429,     ,     ,     ,     
  209,20170430,     ,     ,     ,     
  209,20170501,     ,     ,     ,     
  209,20170502,     ,     ,     ,     
  209,20170503,     ,     ,     ,     
  209,20170504,     ,     ,     ,     
  209,20170505,     ,     ,     ,     
  209,20170506,     ,     ,     ,     
  209,20170507,     ,     ,     ,     
  209,20170508,     ,     ,     ,     
  209,20170509,     ,     ,     ,     
  209,20170510,     ,     ,     ,     
  209,20170511,     ,     ,     ,     
  209,20170512,     ,     ,     ,     
  209,20170513,     ,     ,     ,     
  209,20170514,     ,     ,     ,     
  209,20170515,     ,     ,     ,     
  209,20170516,     ,     ,     ,     
  209,20170517,     ,     ,     ,     
  209,20170518,     ,     ,     ,     
  209,20170519,     ,     ,     ,     
  209,20170520,     ,     ,     ,     
  209,20170521,     ,     ,     ,     
  209,20170522,     ,     ,     ,     
  209,20170523,     ,     ,     ,     
  209,20170524,     ,     ,     ,     
  209,20170525,     ,     ,     ,     
  209,20170526,     ,     ,     ,     
  209,20170527,     ,     ,     ,     
  209,20170528,     ,     ,     ,     
  209,20170529,     ,     ,     ,     
  209,20170530,     ,     ,     ,     
  209,20170531,     ,     ,     ,     
  209,20170601,     ,     ,     ,     
  209,20170602,     ,     ,     ,     
  209,20170603,     ,     ,     ,     
  209,20170604,     ,     ,     ,     
  209,20170605,     ,     ,     ,     
  209,20170606,     ,     ,     ,     
  209,20170607,     ,     ,     ,     
  209,20170608,     ,     ,     ,     
  209,20170609,     ,     ,     ,     
  209,20170610,     ,     ,     ,     
  209,20170611,     ,     ,     ,     
  209,20170612,     ,     ,     ,     
  209,20170613,     ,     ,     ,     
  209,20170614,     ,     ,     ,     
  209,20170615,     ,     ,     ,     
  209,20170616,     ,     ,     ,     
  209,20170617,     ,     ,     ,     
  209,20170618,     ,     ,     ,     
  209,20170619,     ,     ,     ,     
  209,20170620,     ,     ,     ,     
  209,20170621,     ,     ,     ,     
  209,20170622,     ,     ,     ,     
  209,20170623,     ,     ,     ,     
  209,20170624,     ,     ,     ,     
  209,20170625,     ,     ,     ,     
  209,20170626,     ,     ,     ,     
